LANE,From Lat,From Lng,To Lat,To Lng,Colr,Total_trl,O_BUS,D_BUS
208--,30.330867,-81.813865,26.278227,-80.116367,blue,1,HDP,-
154-154,26.278227,-80.116367,26.278227,-80.116367,blue,5,HDP,HDP
TX03-TX18,33.028385,-97.08672,29.920061,-95.441138,blue,2,HDS,HDS
NJ056-NJ99,40.668714,-74.114309,40.551803,-74.475237,red,2,HDS,HDS
GA02-291,33.610186,-84.381903,33.016208,-80.21141,blue,2,HDS,HDP
180-NC34,37.588666,-77.513659,35.123394,-80.930247,blue,2,HDP,HDS
208-282,30.330867,-81.813865,26.6371,-81.871597,blue,20,HDP,HDP
AL04-297,33.154975,-86.717475,34.782276,-86.524406,blue,114,HDS,HDP
CA05-NV301,38.564315,-121.540916,39.541561,-119.738281,red,147,HDS,HDS
TX03-TX35,33.033405,-97.067657,30.145679,-97.700218,blue,120,HDS,HDS
IL30-126,41.924175,-87.889274,40.78722,-89.629661,blue,55,HDS,HDP
TX03-OK023,33.033405,-97.067657,36.095485,-95.884033,red,33,HDS,HDS
CA05-CA49,38.564315,-121.540916,37.635456,-122.102081,blue,354,HDS,HDS
198--,34.078558,-117.270205,36.230201,-115.075798,blue,2,HDP,-
238-CA01,34.021808,-118.151527,32.79425,-117.07022,blue,33,HDP,HDS
301-OK28,33.033405,-97.067657,35.580776,-97.468864,blue,6,HDP,HDS
NJ22-NJ056,40.07105,-74.861307,40.668714,-74.114309,blue,3,HDS,HDS
299-299,29.76444,-95.50962,29.582399,-98.291816,blue,6,HDP,HDP
299-TX27,29.76444,-95.50962,29.85724,-95.574241,blue,6,HDP,HDS
208--,26.278227,-80.116367,26.2779,-80.147819,blue,1,HDP,-
MA021A-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
273-UT48,39.770919,-104.679458,40.741157,-111.811004,blue,115,HDP,HDS
TX03-LA34,33.033405,-97.067657,32.4654,-93.814018,red,117,HDS,HDS
TX18-TX35,29.917263,-95.440719,30.145679,-97.700218,blue,371,HDS,HDS
IL30-238,41.924175,-87.889274,38.991481,-94.710418,blue,124,HDS,HDP
NJ22-MA21,40.069759,-74.841842,42.2523,-71.128677,blue,240,HDS,HDS
AL04-TN50,33.154975,-86.717475,35.049175,-89.923576,red,226,HDS,HDS
NJ22-PA039,40.069759,-74.841842,40.761932,-80.341659,red,117,HDS,HDP
IL032-206,41.959896,-87.978233,38.991481,-94.710418,blue,66,HDS,HDP
TX18-46,29.917263,-95.440719,29.950559,-90.206336,blue,67,HDS,HDP
CA20-198,34.015399,-117.858222,34.080886,-117.273246,blue,1,HDS,HDP
301-TX03,33.033405,-97.067657,33.033405,-97.067657,blue,6,HDP,HDS
301-OK28,33.033405,-97.067657,33.033405,-97.067657,blue,6,HDP,HDS
154-282,26.278227,-80.116367,26.57877,-81.839002,blue,1,HDP,HDP
41,37.385639,-121.885276,38.48895,-121.398843,blue,3,-,HDP
CA20-NV39,34.078558,-117.270205,36.230201,-115.075798,blue,7,HDS,HDS
FL14-154,28.094544,-81.915505,26.278227,-80.116367,blue,1,HDS,HDP
14-180,35.301327,-80.893114,37.588666,-77.513659,blue,4,HDP,HDP
208-GA02,30.429253,-81.809758,33.610186,-84.381903,blue,1,HDP,HDS
208-FL262,30.410509,-81.809082,26.631629,-81.836189,red,2,HDP,HDP
FL14-208,28.094544,-81.915505,30.429253,-81.809758,blue,1,HDS,HDP
GA02-FL45,33.610186,-84.381903,28.5296,-81.407234,blue,1,HDS,HDS
41-236,38.484096,-121.398887,37.385639,-121.885276,blue,114,HDP,HDP
NC34-NC38,35.13726,-80.936119,35.8269,-78.833534,blue,126,HDS,HDS
NJ22-CT008,40.069759,-74.841842,41.927047,-72.645362,red,231,HDS,HDS
NC34-NC086,35.13726,-80.936119,34.215366,-78.038482,red,134,HDS,HDS
AZ17-55,33.43975,-112.191062,31.75193,-106.38224,blue,133,HDS,HDP
CA20-WA09,34.015399,-117.858222,47.390701,-122.262603,blue,240,HDS,HDS
IL30-MO15,41.924175,-87.889274,38.768566,-90.465774,blue,125,HDS,HDS
GA02-TN049,33.615196,-84.367485,35.975902,-83.985725,red,159,HDS,HDS
IL032-MN55,41.959896,-87.978233,44.804641,-93.196739,blue,115,HDS,HDS
OH36-OH67,39.845401,-82.880302,39.178386,-84.513618,red,319,HDS,HDP
IL30-NE008,41.924175,-87.889274,41.293212,-95.927162,red,128,HDS,HDP
IL30-MA021A,41.924175,-87.889274,38.991481,-94.710418,blue,124,HDS,HDP
IL30-XX99,41.924175,-87.889274,43.861484,-84.735015,red,118,HDS,HDS
AL04-FL264,33.154975,-86.717475,30.454135,-87.210418,red,232,HDS,HDS
207-WI008,41.873722,-88.014526,42.981956,-87.892761,red,113,HDP,HDS
290-FL45,28.400943,-81.35765,28.527432,-81.405396,blue,68,HDP,HDS
207-126,41.886469,-88.020154,40.773699,-89.672994,blue,2,HDP,HDP
TX03-OK28,32.825599,-97.052871,33.033405,-97.067657,blue,6,HDS,HDS
TX03-301,32.685398,-96.936599,35.580776,-97.468864,blue,60,HDS,HDP
IL30-MN55,41.917253,-87.895619,44.803607,-93.197367,blue,2,HDS,HDS
198--,34.015399,-117.858222,36.230201,-115.075798,blue,2,HDP,-
CA20--,34.078558,-117.270205,36.230201,-115.075798,blue,2,HDS,-
TX03-TX27,32.95917,-97.026366,29.598134,-98.282535,blue,2,HDS,HDS
180-NC38,37.588666,-77.513659,35.824341,-78.830032,blue,1,HDP,HDS
225-TN50,36.011329,-86.565902,35.049175,-89.923576,red,1,HDP,HDS
TX03-OK28,32.679195,-96.931805,35.579943,-97.460501,blue,2,HDS,HDS
154--,30.330867,-81.813865,26.278227,-80.116367,blue,1,HDP,-
154--,30.330867,-81.813865,26.2779,-80.147819,blue,1,HDP,-
IL30-126,41.917253,-87.895619,40.773699,-89.672994,blue,1,HDS,HDP
CA20-CA05,34.015399,-117.858222,38.564315,-121.540916,blue,177,HDS,HDS
CA20-CA244,34.015399,-117.858222,34.230201,-119.170799,red,116,HDS,HDS
299-TX189,29.76444,-95.50962,27.776792,-97.429054,red,89,HDP,HDS
